model,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
XGBoost,0.29000000000000004,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.3,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.31,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.32,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.33,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.34,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.35000000000000003,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.36000000000000004,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.37,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.38,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.39,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.4,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.41000000000000003,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.42000000000000004,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.43,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.44,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.45,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.46,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.47000000000000003,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.48000000000000004,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.49,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.5,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.51,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.52,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.53,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.54,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.55,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.56,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.5700000000000001,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.5800000000000001,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.59,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.6,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.61,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.62,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.63,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.64,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.65,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.66,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.67,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.68,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.6900000000000001,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.7000000000000001,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.7100000000000001,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
